Id,Source,Target,Label,Type,Weight
124,12,96,,Undirected,1
125,96,97,,Undirected,1
126,97,14,,Undirected,1
127,97,98,,Undirected,1
128,98,18,,Undirected,1
129,98,99,,Undirected,1
130,99,100,,Undirected,1
131,100,101,,Undirected,1
132,101,102,,Undirected,1
133,102,20,,Undirected,1
134,102,103,,Undirected,1
135,103,104,,Undirected,1
136,103,100,,Undirected,1
137,103,98,,Undirected,1
138,105,17,,Undirected,1
139,16,106,,Undirected,1
140,106,107,,Undirected,1
141,108,109,,Undirected,1
142,109,110,,Undirected,1
143,110,111,,Undirected,1
144,111,20,,Undirected,1
145,19,111,,Undirected,1
146,18,112,,Undirected,1
147,112,110,,Undirected,1
148,112,113,,Undirected,1
149,113,109,,Undirected,1
150,112,114,,Undirected,1
151,14,115,,Undirected,1
152,115,116,,Undirected,1
153,115,117,,Undirected,1
154,117,118,,Undirected,1
155,118,119,,Undirected,1
156,119,21,,Undirected,1
157,21,101,,Undirected,1
158,101,120,,Undirected,1
159,120,121,,Undirected,1
160,121,122,,Undirected,1
161,122,123,,Undirected,1
162,123,124,,Undirected,1
163,124,125,,Undirected,1
164,125,126,,Undirected,1
165,126,127,,Undirected,1
166,128,129,,Undirected,1
167,129,124,,Undirected,1
168,124,130,,Undirected,1
169,131,129,,Undirected,1
170,129,132,,Undirected,1
171,132,101,,Undirected,1
172,101,133,,Undirected,1
173,133,134,,Undirected,1
174,135,136,,Undirected,1
175,136,137,,Undirected,1
176,22,138,,Undirected,1
177,138,139,,Undirected,1
178,139,24,,Undirected,1
179,140,141,,Undirected,1
180,142,143,,Undirected,1
181,143,144,,Undirected,1
183,24,147,,Undirected,1
184,23,148,,Undirected,1
185,123,97,,Undirected,1
186,149,150,,Undirected,1
187,150,151,,Undirected,1
188,151,86,,Undirected,1
189,67,152,,Undirected,1
190,152,153,,Undirected,1
191,154,152,,Undirected,1
192,152,155,,Undirected,1
193,155,152,,Undirected,1
194,152,156,,Undirected,1
195,157,158,,Undirected,1
199,164,166,,Undirected,1
200,166,130,,Undirected,1
201,130,167,,Undirected,1
202,167,168,,Undirected,1
203,168,169,,Undirected,1
204,169,170,,Undirected,1
205,170,171,,Undirected,1
206,171,172,,Undirected,1
207,172,173,,Undirected,1
208,173,174,,Undirected,1
209,174,168,,Undirected,1
210,168,175,,Undirected,1
211,175,68,,Undirected,1
212,118,176,,Undirected,1
213,176,177,,Undirected,1
214,176,178,,Undirected,1
215,178,179,,Undirected,1
216,179,180,,Undirected,1
217,179,181,,Undirected,1
218,182,183,,Undirected,1
219,183,184,,Undirected,1
220,184,103,,Undirected,1
221,102,185,,Undirected,1
222,185,186,,Undirected,1
223,186,187,,Undirected,1
224,186,188,,Undirected,1
225,99,189,,Undirected,1
226,189,190,,Undirected,1
227,88,9,,Undirected,1
228,3,191,,Undirected,1
229,2,192,,Undirected,1
230,193,194,,Undirected,1
231,194,195,,Undirected,1
232,195,196,,Undirected,1
233,196,193,,Undirected,1
234,197,198,,Undirected,1
235,198,199,,Undirected,1
236,199,200,,Undirected,1
237,200,197,,Undirected,1
238,16,201,,Undirected,1
239,201,202,,Undirected,1
240,202,203,,Undirected,1
241,203,204,,Undirected,1
242,204,205,,Undirected,1
243,205,206,,Undirected,1
246,209,210,,Undirected,1
247,211,212,,Undirected,1
248,213,214,,Undirected,1
249,215,216,,Undirected,1
250,216,217,,Undirected,1
251,279,280,,Undirected,1
252,280,281,,Undirected,1
253,281,282,,Undirected,1
254,282,279,,Undirected,1
255,307,308,,Undirected,1
256,311,312,,Undirected,1
257,314,315,,Undirected,1
258,316,317,,Undirected,1
259,90,358,,Undirected,1
260,358,359,,Undirected,1
261,359,360,,Undirected,1
