district_no,city,polling_place,polling_address,street,qualifier
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Kąpielowa,
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Włodzimierska,
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Rzeźna,
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Szkolna,
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Legionów,od Magistrackiej 12b
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Magistracka,
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Legionów,od nr. 1 do ul. Magistrackiej lewa strona
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Monopolowa,
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Więzienna,
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Jasna,
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Budryszańska,
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Kowalska,
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Cicha,
4,Kowel,szkoła powszechna,ul. Mickiewicza 16,ul. Staro Cmentarna,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Legionów,od Kolejowej nr. 12b wł. prawa strona
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Królowej Bony,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Żwirki,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Wigury,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Staszyca,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. 50 P. P. Strzel. Kres.,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Wilcza,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Pereca,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Kolejowa,
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Listopadowa,do Kolejowej nr. 40 i 39
5,Kowel,lokal org. syjonist.,ul. Listopadowa Nr. 7,ul. Szewczenki,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Listopadowa,od Kolejowej nr. 42 i 41 do końca
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Sulkiewicza,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Krzywa,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Żeromskiego,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Poniatowskiego,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Hołówki,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Strzelecka,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Sienkiewicza,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Daszyńskiego,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Pograniczna,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Mościckiego,
6,Kowel,lokal Komisji Poborowej,ul. Sierkiewicza 8,ul. Tuszowskiego,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Kościuszki,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Mickiewicza,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Ciasna,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Filarecka,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Cyrkowa,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. 3-go Maja,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Przeskok,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. ks. Bandurskiego,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. ks. Sznarbachowskiego,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Piaskowa,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Komorowska,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Rolna,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,al. Marszałka Piłsudskiego,do Bezimiennej i Limanowskiego
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. 27 Dywizji Piechoty,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Racławicka,
7,Kowel,lokal Domu Pracy Katol.,ul. Pomnikowa 16,ul. Pomnikowa,do Wiejskiej i Gibalskiego
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Limanowskiego,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Dzika,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Niecała,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Krucza,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,al. Marszałka Piłsudskiego,od Bezimiennej i Limanowskiego do końca
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Wiejska,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Wygonna,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Cmentarna,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Szpitalna,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Nowowiejska,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Pasieczna,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Gibalskiego,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Podjaworska,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Spokojna,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Hoża,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Zaułek Kolejowy,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Południowa,
8,Kowel,lokal Sądu Grodzkiego,al. Marszałka Piłsudskiego,ul. Pomnikowa,od Wiejskiej i Gibalskiego do końca
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Bielińska,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Wspólna,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Koszykowa,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Myśliwska,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Zgoda,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Kresowa,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Żórawia,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Gęsia,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Krakowska,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Nowy Świat,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Kołodnicka,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Mokra,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Zaułek Krótki,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Dąbrowskiego,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Północna,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Nasypowa,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Polna,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Miodowa,
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Poleska,do Powurskiej
9,Kowel,lokal szkoły powszechnej,ul. Koszykowa,ul. Zielona,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Powurska,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Lisa Kuli,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Topolowa,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Wierzbowa,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Torowa,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Brzozowa,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Szeroka,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Narożna,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Miła,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Wąska,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Jaworowa,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Prosta,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Poleska,od Powurskiej
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Obwodowa i Okrzei,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. 1-go Maja,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Waligórskiego,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Wrzosowa,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Wielka,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,Tranzyt Sarny,
10,Kowel,lokal szkoły powszechnej Nr. 5,ul. Topolowa,ul. Parkowa,
