Index,Description,Polish,Ukrainian,Secular,Building_Type,Construction_Period,Status,Address,Historical_Significance,Architectural_Style,Community_Use,Notes,Contemporary_Use,Destruction_Date,Post_War_Status
035,"Plac Wolnosci","Plac Wolności","Площа Свободи",yes,public_space,"1920s","modified","City Center","Freedom Square","Modern","public gathering","Civic space","plaza","N/A","renovated"
036,"Chelm Street","Ulica Chełmska","Вулиця Холмська",yes,infrastructure,"historic","existing","N/A","Connection route","N/A","transportation","To Chelm city","street","N/A","maintained"
037,"Piaskowa Street","Ulica Piaskowa","Піщана вулиця",yes,infrastructure,"historic","existing","N/A","Sandy district","N/A","residential","Worker housing","street","N/A","maintained"
038,"Koscielna Street","Ulica Kościelna","Костельна вулиця",yes,infrastructure,"historic","existing","N/A","Church district","N/A","mixed use","Religious area","street","N/A","maintained"
039,"Handlowa Street","Ulica Handlowa","Вулиця Торгова",yes,infrastructure,"historic","modified","N/A","Market street","N/A","commerce","Trading area","street","N/A","modernized"
040,"Warszawska Street","Ulica Warszawska","Вулиця Варшавська",yes,infrastructure,"historic","existing","N/A","Main road","N/A","transportation","Major route","street","N/A","maintained"
041,"Fabriczna Street","Ulica Fabryczna","Вулиця Фабрична",yes,infrastructure,"historic","existing","N/A","Industrial area","N/A","industrial","Factory district","street","N/A","maintained"
042,"Lucka Street","Ulica Łucka","Вулиця Луцька",yes,infrastructure,"historic","existing","N/A","To Lutsk route","N/A","transportation","Major road","street","N/A","maintained"
043,"Budowlana Street","Ulica Budowlana","Вулиця Будівельна",yes,infrastructure,"historic","existing","N/A","Construction area","N/A","mixed use","Development zone","street","N/A","maintained"
044,"Strazacka Street","Ulica Strażacka","Вулиця Пожежна",yes,infrastructure,"historic","existing","N/A","Fire station area","N/A","services","Emergency services","street","N/A","maintained"
045,"Dabrowskiego Street","Ulica Dąbrowskiego","Вулиця Домбровського",yes,infrastructure,"historic","existing","N/A","Residential zone","N/A","residential","Named after hero","street","N/A","maintained"
046,"Szpitalna Street","Ulica Szpitalna","Лікарняна вулиця",yes,infrastructure,"historic","existing","N/A","Hospital district","N/A","healthcare","Medical zone","street","N/A","maintained"
047,"Lito Street","Ulica Lito","Вулиця Літо",yes,infrastructure,"historic","existing","N/A","Summer district","N/A","residential","Named for season","street","N/A","maintained"
048,"Przeczna Street","Ulica Przeczna","Вулиця Поперечна",yes,infrastructure,"historic","existing","N/A","Cross street","N/A","transportation","Connecting road","street","N/A","maintained"
049,"Ograniczna Street","Ulica Ograniczna","Обмежена вулиця",yes,infrastructure,"historic","existing","N/A","Boundary street","N/A","mixed use","City limit","street","N/A","maintained"
050,"Koszykowa Street","Ulica Koszykowa","Вулиця Кошикова",yes,infrastructure,"historic","existing","N/A","Basket makers","N/A","mixed use","Craft district","street","N/A","maintained"
051,"Krotka Street","Ulica Krótka","Коротка вулиця",yes,infrastructure,"historic","existing","N/A","Short street","N/A","residential","Brief passage","street","N/A","maintained"
052,"Zeromskiego Street","Ulica Żeromskiego","Вулиця Жеромського",yes,infrastructure,"historic","existing","N/A","Cultural area","N/A","residential","Literary name","street","N/A","maintained"
053,"Ghetto Memorial","Pomnik Getta","Пам'ятник гетто",no,memorial,"1990s","standing","Pomorowska","Holocaust memorial","Modern","commemoration","Memory site","memorial","N/A","maintained"
054,"Jewish Hospital","Szpital Żydowski","Єврейська лікарня",no,healthcare,"1910s","destroyed","Szpitalna 15","Jewish healthcare","Classical Revival","healthcare","Community hospital","destroyed","1942","new hospital"
055,"Polish Hospital","Szpital Polski","Польська лікарня",yes,healthcare,"1900s","modified","Szpitalna 20","General hospital","Classical","healthcare","Public hospital","hospital","N/A","modernized"
056,"Residential Area","Osiedle Mieszkaniowe","Житловий район",yes,residential,"various","modified","Various","Housing district","Various","residential","Mixed housing","housing","N/A","developed"
057,"Power Station","Elektrownia","Електростанція",yes,industrial,"1930s","modified","Fabryczna 8","Power plant","Industrial","utility","Electric supply","power plant","N/A","modernized"
058,"Apteka","Apteka","Аптека",yes,commercial,"1900s","destroyed","Rynek 12","Main pharmacy","Classical","healthcare","Medical supplies","destroyed","1944","new building"
059,"Polish Middle School","Polska Szkoła Średnia","Польська середня школа",yes,educational,"1900s","standing","Szkolna 60","Polish education","Neo-Classical","education","National school","school","N/A","renovated"
060,"Ruthenian Church","Cerkiew Ruska","Руська церква",no,religious,"1800s","standing","Kościelna 5","Orthodox church","Byzantine","worship","Religious center","church","N/A","preserved"
