name,location_within_kowel_city_limits,description,year_mentioned
Dresden Hotel,Yes,A hotel in Kovel where the narrator's family stayed upon arrival,"Not specified"
Bridge,Yes,A bridge in Kovel where the narrator's family stopped and received a history lesson,"Not specified"
Old Town,Yes,The historic part of Kovel,"Not specified"
New Town,Yes,The newer part of Kovel,"Not specified"
Downtown Kovel,Yes,The central part of Kovel,"Not specified"
Magnificent Kovel railroad station,Yes,The main railroad station in Kovel,"Not specified"
Rabbi Velvele's Dance,Yes,A ceremony of “Hakefot” where Rabbi Velvele danced with the Scroll,"Not specified"
Heder of Rabbi Shaye of Trojanówka,Yes,A heder where Rabbi Shaye Trojanówka taught,"Not specified"
Tarbut School,Yes,A Hebrew school in Kovel,"Not specified"
Freiheit,Yes,A pioneering movement in Kovel,"Not specified"
Hehalutz Hazair,Yes,A youth movement in Kovel,"Not specified"
Fabrichna Street,Yes,A street in Kovel where the movement was just coming into being,"Not specified"
Lotzka Street,Yes,A street in Kovel with a large, expansive auditorium,"Not specified"
Summer colonies in the villages,No,Villages in the bosom of nature surrounding the city,"Not specified"
Kovel during the First World War,Yes,Kovel during the events of the First World War,"1914"
Old Town (during WWI),Yes,The historic part of Kovel during World War I,"1914"
Sands (during WWI),Yes,A part of Kovel during World War I,"1914"
Taz Institution,Yes,An institution in Kovel that provided care for Jewish children,"1928"
Orphanage,Yes,An orphanage in Kovel that provided shelter and care for orphans,"1918"
Folks Kitchen,Yes,A kitchen in Kovel that provided meals for the poor,"Not specified"
Yiddish school,Yes,A Yiddish school in Kovel opened by the Bolsheviks,"1920"
ORT School,Yes,A school in Kovel that educated working and productive youth,"1920s"
Simikovi Hospital,Yes,A governmental hospital in Kovel,"Not specified"
Jewish Hospital on Behalf of the Jewish Community,Yes,A Jewish hospital in Kovel,"Not specified"
Taz association polyclinic,Yes,A large polyclinic that served the Jewish public in the medical field,"Not specified"
Bikur Cholim,Yes,A charitable institution that provided medical help to the Jews of Kovel,"Not specified"
Clubhouse Named For Y.L. Peretz,Yes,A clubhouse in Kovel that served as a meeting place for middle and working classes,"Not specified"
Righteous Lodging,Yes,A charitable institution in Kovel that provided care for the poor and needy,"Not specified"
Ohel Shem,Yes,A club in Kovel that brought together young people interested in Jewish content and thought,"Not specified"
Carpenters Association,Yes,A meeting place for workers revolutionary youths in Kovel,"Not specified"
Home for the Aged,Yes,A home for the elderly in Kovel that provided care and support for the elderly,"Not specified"
Great Synagogue,Yes,A place of worship and community gathering,"1937"
Houses of Learning,Yes,Places for religious study and learning,"1937"
